,Store Number,City,2015 Sales,2015 Sales_mean,County_Number,Price_per_Liter_mean,Zip_Code,2015_Volume_Sold_(Liters),2015_Volume_Sold_(Liters)_mean,2015_Margin_mean,2015_Sales_Q1,2016_Sales_Q1
731,4553,SHEFFIELD,243.0,11.0454545455,2808.42,127.655454545,35,13.2104761905,42.6627272727,50475,1396.32,3703.06
732,4554,SIOUX CITY,173.35,5.25303030303,2469.91,74.8457575758,97,16.3168686869,24.963030303,51103,159.0,954.18
733,4556,GOLDFIELD,84.0,12.0,1026.24,146.605714286,99,13.1692517007,49.6971428571,50542,581.04,640.56
734,4557,TRAER,632.87,5.31823529412,7020.76,58.9979831933,86,13.3857633053,19.6768067227,50675,1858.53,576.0
735,4558,SIOUX CITY,726.77,7.12519607843,9224.95,90.4406862745,97,16.187260212,30.1790196078,51105,1630.0,1285.53
736,4559,OSAGE,1305.54,4.29453947368,13251.8,43.5914473684,66,14.8218900849,14.6500986842,50461,2889.19,2569.92
737,4560,HARLAN,240.0,10.0,3170.1,132.0875,83,15.5471031746,44.1766666667,51537,1286.04,704.25
738,4561,EVANSDALE,168.75,8.4375,3116.4,155.82,7,19.1707142857,51.952,50707,1572.05,950.39
739,4562,MECHANICSVILLE,233.1,9.7125,3256.5,135.6875,16,15.763452381,45.505,52306,980.1,1231.84
740,4563,IRETON,145.5,5.59615384615,2438.71,93.7965384615,84,19.6576739927,31.2753846154,51027,508.98,793.04
741,4565,SIOUX CITY,496.15,8.85982142857,5950.81,106.264464286,97,14.9406802721,35.6564285714,51106,1403.1,761.31
742,4566,CEDAR RAPIDS,757.68,4.3296,10539.77,60.2272571429,57,17.2368818531,20.1352,52404,2656.88,552.12
743,4568,SIOUX CITY,791.06,6.0386259542,11814.59,90.1877099237,97,17.5915149037,30.1022137405,51108,991.23,8367.13
744,4569,SUTHERLAND,240.0,8.57142857143,3193.5,114.053571429,71,14.7637244898,38.0835714286,51058,675.24,933.43
745,4571,ALLISON,127.5,12.75,1376.64,137.664,12,12.9257142857,45.918,50602,541.32,747.0
746,4572,GRUNDY CENTER,419.02,4.81632183908,5254.75,60.3994252874,38,15.1046405862,20.197816092,50638,783.06,863.16
747,4573,HAMBURG,187.1,8.50454545455,2654.45,120.656818182,36,14.7214285714,40.3118181818,51640,509.76,1233.72
748,4575,SLATER,330.44,6.11925925926,4132.2,76.5222222222,85,17.9945546737,25.5585185185,50244,1079.52,1009.29
749,4576,ARNOLDS PARK,833.76,7.37840707965,11510.72,101.864778761,30,16.9739770333,34.1655752212,51331,1951.64,1170.8
750,4577,WOODWARD,218.25,7.79464285714,2560.53,91.4475,25,13.5673469388,30.7028571429,50276,538.14,1647.51
751,4578,FARMINGTON,149.54,6.50173913043,2063.89,89.7343478261,89,17.3989130435,29.9308695652,52626,744.15,2031.27
752,4580,WASHINGTON,362.36,3.69755102041,4751.62,48.4859183673,92,19.5087530791,16.1779591837,52353,953.28,1085.82
753,4582,SPIRIT LAKE,315.51,2.74356521739,4267.8,37.1113043478,30,18.19563147,12.4170434783,51360,730.89,1366.49
754,4584,DUMONT,356.45,7.58404255319,3328.16,70.8119148936,12,14.3313576494,23.8708510638,50602,364.4,1097.53
755,4585,FARLEY,205.5,9.34090909091,2030.4,92.2909090909,31,11.5813852814,30.7854545455,52046,418.2,1219.84
756,4588,SIOUX CITY,1460.82,7.3041,26047.34,130.2367,97,20.7106221884,43.44185,51103,3684.28,3481.52
757,4589,SIBLEY,392.22,4.085625,5082.68,52.9445833333,72,15.9841313112,17.7054166667,51249,1921.02,1230.21
758,4590,CEDAR FALLS,230.4,8.86153846154,2834.86,109.033076923,7,13.3059569597,36.71,50613,942.48,5772.6
759,4591,CLARION,92.4,9.24,1185.12,118.512,99,13.8183809524,40.026,50525,81.6,975.68
760,4592,EMMETSBURG,417.85,5.09573170732,4736.39,57.7608536585,74,14.3965505226,19.3230487805,50536,1580.94,1146.12
761,4594,DES MOINES,369.02,4.44602409639,5405.53,65.1268674699,77,17.2800609943,21.7651807229,50312,470.59,1003.69
762,4595,DES MOINES,298.9,4.52878787879,4187.69,63.4498484848,77,18.1656998557,21.1921212121,50321,1067.11,835.97
763,4596,DES MOINES,362.35,4.26294117647,5217.69,61.3845882353,77,17.4738187503,20.4811764706,50317,1105.62,704.08
764,4597,DES MOINES,683.75,4.49835526316,9467.18,62.2840789474,77,20.0001616355,20.7892105263,50315,2151.4,1163.37
765,4598,DES MOINES,270.74,4.66793103448,4811.59,82.9584482759,77,20.3138861644,27.6832758621,50317,1418.85,8327.22
766,4599,DES MOINES,648.93,4.50645833333,10102.94,70.1593055556,77,19.6661409089,23.4163888889,50317,2947.57,6400.99
767,4600,DES MOINES,541.35,6.766875,6145.42,76.81775,77,14.7729598214,25.675625,50317,1286.43,3223.73
768,4601,DES MOINES,295.53,3.78884615385,4157.68,53.3035897436,77,17.4406415038,17.7773076923,50317,905.03,2417.4
769,4602,PACIFIC JUNCTION,660.16,6.73632653061,8963.81,91.4674489796,65,17.5826489694,30.53,51561,2119.86,1094.94
770,4603,DES MOINES,276.25,4.84649122807,4377.87,76.8047368421,77,17.8305931495,25.6721052632,50320,682.26,1944.77
